feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
6.988158603387362,-6.8096754419279675,-5.911495683195268,-6.103214772001657,-3.1413034883595983,0.8990374434067323
6.42965988522117,-5.6424096029155315,-7.1717764295758055,-6.914878226037715,-3.1949067960425905,0.10099206526191984
6.545085180054382,-4.726192698349071,-7.186641341616801,-7.300046641657368,-3.0324529443130803,0.3695344263536376
-8.405324518210069,6.6460918527683654,1.7075880750963115,4.45507629265766,-10.321586799419117,9.82599610134332
-2.450591963923451,8.550480257885042,4.654584940783467,2.2719686586880017,-6.008941026474245,-6.304547097624822
-3.1006332508540764,9.316714037509028,4.321724265204637,1.4974459845833255,-6.943845407124005,-7.501254986727571
-9.2209717471868,7.004924742497613,1.648415919009317,3.828165284424756,-9.970742390467862,10.111606961904418
-8.398743710306663,7.275092967433554,2.06948134905383,2.9625311452016443,-9.038513509262462,9.606090128778682
-9.644998063256576,6.772331747608185,1.419815774812935,3.700773016858432,-9.60912104651602,9.5387258827618
-2.9304294793791614,8.817688840239661,4.404613944348807,1.0950607150614609,-6.701955024912524,-6.723476429968013
6.66338449001209,-4.90588545318522,-6.411285490605417,-6.060486725181484,-4.552591257697373,0.7521128909693464
-2.520305504648184,8.841090944846238,4.833509972430955,1.4768311178093383,-6.568019282606567,-5.9604662454744
-2.400077870017653,9.163218479978523,4.364262296503955,1.463263062261857,-6.381425701224723,-7.393759888821267
7.391822658868617,-5.7404548403928395,-6.1782008482986095,-5.310580836150181,-3.770703233116105,2.0561385011529945
-8.985773595087577,7.159888773650101,0.40416824909923266,4.128874636010222,-9.726870832209158,9.815920862127937
6.595883586997683,-4.2053921838418855,-6.8457053966398265,-5.348439719664883,-2.9085346523633815,0.1629756876199605
7.8857549619902745,-5.0281980480785915,-5.74906314037111,-5.976393633410614,-3.448138495109263,0.16441720284763722
-3.172998607456367,8.29656215374992,5.12739432966462,2.786913701083226,-6.92283326409947,-6.277989854540732
5.946902714582263,-7.476575114403467,-6.380009598888369,-5.268558844929477,-2.9183996120805236,0.22087087869299415
-2.779236905940296,9.38799608760682,3.999306578598545,1.887741992927956,-6.807449812124131,-6.571446292840697
-8.775807094264884,7.28596703875899,1.5699214815441698,3.9930465098008443,-10.604084202601182,9.339193267163036
-1.2172881485458165,8.553877590465492,5.163271218260508,2.083174887383743,-5.565745431220667,-7.365088564489038
5.795766415963329,-4.852417595261185,-6.557108559163269,-6.482409612804352,-3.1182386556998107,0.8288666382851533
-1.4969126420092114,9.543269982367992,4.635095251438131,2.8611361672747475,-6.833206206562699,-7.396880114072905
-8.82108086287512,8.090594033063082,2.1369596756761178,4.1893134848145985,-10.404223798671902,9.845949182856218
-8.71657394412523,6.414076446500364,2.9508033556622126,5.238978159778222,-9.955983328374582,9.165576107278296
-3.2239797213743393,9.408218293378619,4.055069834091708,2.445420446186203,-6.184469843746828,-7.372518984286973
-2.278758353689166,8.994669279341865,3.3994135762041755,1.9196976602330589,-7.662308891454182,-6.478306063977923
-3.54414832256057,8.676913610653738,4.032180164027447,2.161718083497896,-7.424441636463997,-7.727491814077122
-7.858268837255353,6.6357156796874905,2.2038815140075956,3.7088860459092943,-9.626793122039746,9.595454489421975
-2.8646339775960716,8.495891666390431,4.668991812994998,1.4745996140941093,-6.717353095683367,-6.910252458945429
6.606553549172981,-5.461316800138755,-6.324816006971916,-7.517189742743646,-4.478756377100498,0.408676099211788
-1.6077833917951334,9.058742996450187,5.617048163570876,1.1451088090117971,-7.901656654764363,-6.913438212613918
-2.1913151163035804,9.879227300593062,3.156892136151728,1.495032530658446,-6.533383914842946,-7.001936824901742
6.044927276840651,-5.06929064975705,-5.573231615454069,-6.402750919125971,-5.188268080214402,0.1304354403880978
-7.853118660554189,7.929413169104284,1.6094100277575414,5.512913039127494,-8.999250821888994,9.203298213134712
-1.449925078884092,9.257275154774895,3.8833484636270743,2.5238868521735975,-5.606333472943691,-6.260630436945259
6.818825538936121,-5.908560770656924,-6.011484374972823,-6.616851996904838,-3.392376762334899,-0.31245917550329183
-8.866480103963521,7.609747411832576,2.068393369500329,3.391656221407767,-8.990550022415666,9.101943093343099
-8.705047493655783,7.036273742500617,2.775753910208288,3.6246871745892064,-9.700433100580767,9.13435840827538
-8.451037247951366,8.621475749481979,1.8376332938923752,4.292941752519273,-9.438679903857498,10.34466901109797
-3.396349370520655,9.70053855412248,4.84297668072475,1.7239969356002511,-6.499958071487499,-5.51769387859331
6.765483396954838,-5.96511756212089,-6.160410349780973,-6.5091506490147415,-3.814078555047477,1.285687154009533
6.536566257005706,-5.161779789026559,-5.651069024919137,-4.778171617720155,-3.5673752368811003,0.6906064225940571
-2.466257880721115,8.727691660139252,4.927266731675936,2.173366947112901,-6.257103224596531,-7.186119432588795
-9.312612429903197,7.606403929780301,3.151514932749196,4.9687035836138955,-8.632398138100314,9.091467637381175
5.523749334220989,-5.684202138946026,-6.459580333197972,-5.929105757061044,-3.787237163866632,0.043947033601465846
-2.2922160080241696,8.627214275435247,4.85671619953315,2.8959916238203136,-6.901122814617241,-5.941323399787543
6.970758722150678,-6.292298575509099,-6.346591961436511,-6.337381200917846,-3.2636178013102985,0.7799475723727289
-1.5297508406937692,8.156201301421943,4.375852144209911,2.0516140303123866,-6.014863217711601,-7.74162688398361
-2.1632634452192905,9.201036220924443,6.487207321301244,2.644914630801478,-6.95637774603973,-7.4534338576362025
-8.986634186148368,6.914332366700024,1.4213282289272264,3.992791380189336,-8.509698197974238,9.782702760000092
6.599244404502816,-5.826266291464447,-5.455430809912709,-5.953422792198457,-4.529667235406769,1.6075841724452702
7.779604599569201,-4.8272716694711635,-6.656810308929752,-7.00368026290473,-3.830623392662523,-0.5659349866929537
-8.239521690720219,5.58576968858249,3.275325057732612,4.077697779027805,-8.923400424041441,8.774253486964568
-2.6059690500523556,9.256716642287044,5.7715903769544195,2.0779163716398354,-6.7250969567176115,-6.924777142735647
6.698316667769138,-6.627748686113435,-6.549026102087906,-6.783203646285673,-3.7236504345577375,1.2993989002586441
6.724680563736283,-4.589860386999506,-6.963699450621332,-6.738556785246234,-3.6068104310138964,0.6028777018085161
-2.3130411987942527,8.882825810913003,5.137522184938195,0.6464884985360009,-6.738258456286131,-6.417590476943767
7.379147928503734,-4.840428155281006,-5.764514116969211,-6.590881990562153,-3.67291708660728,0.48061126881020755
-1.9599563524315058,9.211536793994132,4.322022713967878,2.2811301438087455,-6.821380661542446,-6.298922598956213
6.84738095533711,-5.2531004094691225,-7.559742041400861,-6.10747586102278,-3.1785537453252704,-0.230655978569966
6.259286288968831,-6.487581946491831,-6.343050574902452,-6.793893741566508,-3.774883593734797,-0.43840875507741905
-3.199793769506132,9.239704939205724,4.279495622276818,1.798153434064766,-7.240651158488908,-5.7687426825705845
5.345251088400014,-5.244764780144224,-6.684697567430341,-6.38622977231382,-3.715966942467837,0.6094284405121971
6.783663651459567,-5.193663287310623,-7.214520095617806,-7.388395090119789,-4.830548929551302,1.2526790947010666
-2.286510099029965,8.65189501616883,4.691832708711841,1.8797633427054843,-6.178957954155385,-6.727457087295218
6.514773226585325,-5.962807864105395,-6.375152419390627,-6.513817672631889,-3.4351899996440154,-0.47465773241719544
6.973730452931308,-5.297724690252889,-6.709406896294019,-7.88653517821827,-4.242901809760735,0.7302110358862852
-8.8529405119926,8.608885130665822,3.058826136924602,4.423245757725328,-9.56550802718303,9.470215839270843
7.943237743967738,-6.1166467402364795,-5.918243432652403,-6.152334254687428,-3.1341103671699666,1.4320353506808687
6.009784618163212,-5.936352609047278,-6.729207977153558,-6.444092584722592,-3.881165185870981,0.8129442852587958
6.021967299595816,-6.933031740060078,-5.129776377893794,-6.993834822364334,-4.0479073149607085,0.32904065271140487
